Invoice Date,Customer Code,Material Code,Customer Name,Material Description,Total
4/30/2016,100922.0,143115.0,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01045X840X1830,3.0
4/30/2016,100922.0,143116.0,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01050X840X1830,2.0
4/30/2016,100922.0,143126.0,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01030X800X2135,5.0
4/30/2016,100922.0,143127.0,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01035X800X2135,5.0
4/30/2016,100922.0,143130.0,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01050X840X2135,16.0
4/30/2016,100922.0,143132.0,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01060X840X2135,2.0
4/30/2016,100922.0,143133.0,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01063X840X2135,18.0
4/30/2016,100922.0,143147.0,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01050X840X2440,8.0
4/30/2016,100922.0,143150.0,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01063X840X2440,15.0
4/30/2016,100922.0,143168.0,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01020X800X2740,10.0
4/30/2016,100922.0,143169.0,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01020X800X3050,9.0
4/30/2016,100922.0,143170.0,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01020X800X3660,11.0
4/30/2016,100922.0,143176.0,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01025X800X3050,5.0
4/30/2016,100922.0,143214.0,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01045X840X3050,6.0
4/30/2016,100922.0,143215.0,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01045X840X3660,6.0
4/30/2016,100922.0,143218.0,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01050X840X2740,2.0
4/30/2016,100922.0,143306.0,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01060X840X2740,6.0
4/30/2016,100922.0,143307.0,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01060X840X3050,27.0
4/30/2016,100922.0,143322.0,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01063X840X2740,15.0
4/30/2016,100922.0,180187.0,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01050X1220X3050,9.0
4/30/2016,100922.0,187545.0,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01045X1220X2135,27.0
4/30/2016,100922.0,187547.0,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01045X1220X2740,4.0
4/30/2016,100922.0,192797.0,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01050X1220X2740,9.0
4/30/2016,100922.0,196859.0,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC0105X1220X2135,21.0
4/30/2016,100922.0,197270.0,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01063X1220X2135,3.0
4/30/2016,100922.0,220719.0,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC0104X910X3050,18.0
4/30/2016,100922.0,220720.0,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC0104X910X3660,11.0
4/30/2016,100922.0,231213.0,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01050X910X2440,16.0
4/30/2016,100922.0,242413.0,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC01045X910X1830,9.0
4/30/2016,100922.0,256326.0,BUBNA COMMERCIAL COMPANY,GCSHEETTATGCSGCS1045X910X3050SEC,13.0
4/30/2016,100922.0,261015.0,BUBNA COMMERCIAL COMPANY,GCSHEETTATGCSGCS1030X910X4270SEC,2.0
4/30/2016,100922.0,436109.0,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC014X1220X2740,4.0
4/30/2016,100922.0,442562.0,BUBNA COMMERCIAL COMPANY,GCSHEETTATXGCGC013X1220X3660,9.0
4/30/2016,103374.0,180187.0,KAUSALYA AGENCIES,GCSHEETTATXGCGC01050X1220X3050,77.0
4/30/2016,103374.0,180189.0,KAUSALYA AGENCIES,GCSHEETTATXGCGC01060X1220X3050,24.0
4/30/2016,103374.0,180199.0,KAUSALYA AGENCIES,GCSHEETTATXGCGC01050X1220X3660,78.0
4/30/2016,103374.0,182187.0,KAUSALYA AGENCIES,GCSHEETTATXGCGC01050X1220X2440,24.0
4/30/2016,103374.0,186547.0,KAUSALYA AGENCIES,GCSHEETTATXGCGC01050X1220X4270,33.0
